id,date,category,subcategory,description,amount,department,vendor,cost_center,approved_by,status,created_at
57,2023-01-04,Maintenance,Line Maintenance,Line Maintenance - AAR Corp,2252040.79,Maintenance & Engineering,AAR Corp,CC-MNT-310,VP Maintenance,Approved,2023-01-04 16:20:00
58,2023-01-04,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,1630788.15,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,VP Maintenance,Paid,2023-01-04 10:15:00
59,2023-01-04,Airport Operations,Landing Fees,Landing Fees - Dallas/Fort Worth DFW,1985493.62,Airport Operations,Dallas/Fort Worth DFW,CC-AIR-410,Director Stations,Approved,2023-01-04 16:20:00
60,2023-01-04,Airport Operations,Ground Handling,Ground Handling - Menzies Aviation,772136.41,Airport Operations,Menzies Aviation,CC-AIR-410,Director Stations,Approved,2023-01-04 16:20:00
61,2023-01-04,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - AerCap,2908863.98,Fleet Management,AerCap,CC-FLT-120,VP Fleet,Approved,2023-01-04 10:15:00
62,2023-01-04,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Travelport,961834.12,Commercial & Marketing,Travelport,CC-COM-510,Chief Commercial Officer,Paid,2023-01-04 10:15:00
63,2023-01-04,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,589511.23,Commercial & Marketing,American Express Merchant,CC-COM-510,Director Revenue Mgmt,Approved,2023-01-04 12:30:00
64,2023-01-04,In-flight Services,Catering,Catering - LSG Sky Chefs,1044299.43,Customer Experience,LSG Sky Chefs,CC-CAB-610,VP Customer Experience,Paid,2023-01-04 10:15:00
65,2023-01-04,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,816587.8,Finance & Accounting,Marsh Aviation,CC-FIN-710,CFO,Paid,2023-01-04 12:30:00
66,2023-01-04,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1901867.51,Finance & Accounting,Fixed Asset Register,CC-FIN-720,CFO,Approved,2023-01-04 12:30:00
67,2023-01-04,General & Admin,IT & Communications,IT & Communications - AT&T Business,451542.37,Corporate Services,AT&T Business,CC-COR-810,VP Corporate Services,Paid,2023-01-04 16:20:00
68,2023-01-04,General & Admin,Utilities & Facilities,Utilities & Facilities - ConEdison,340637.23,Corporate Services,ConEdison,CC-COR-810,Director Procurement,Pending,2023-01-04 12:30:00
69,2023-01-05,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,2231004.24,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Approved,2023-01-05 16:20:00
70,2023-01-05,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,9510994.71,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Paid,2023-01-05 14:45:00
71,2023-01-05,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1601181.68,Flight Operations,Swissport Fueling,CC-FLT-110,Chief Pilot,Pending,2023-01-05 10:15:00
72,2023-01-05,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,5155620.07,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Paid,2023-01-05 10:15:00
73,2023-01-05,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,4418329.68,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-01-05 12:30:00
74,2023-01-05,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2042143.85,Maintenance & Engineering,Delta TechOps,CC-MNT-310,VP Maintenance,Paid,2023-01-05 14:45:00
75,2023-01-05,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,1478793.83,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,VP Maintenance,Approved,2023-01-05 14:45:00
76,2023-01-05,Airport Operations,Landing Fees,Landing Fees - Denver DEN,1776496.49,Airport Operations,Denver DEN,CC-AIR-410,VP Airports,Paid,2023-01-05 14:45:00
77,2023-01-05,Airport Operations,Ground Handling,Ground Handling - dnata,690859.75,Airport Operations,dnata,CC-AIR-410,VP Airports,Pending,2023-01-05 12:30:00
78,2023-01-05,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - Avolon,2832901.79,Fleet Management,Avolon,CC-FLT-120,VP Fleet,Paid,2023-01-05 12:30:00
79,2023-01-05,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Sabre Travel Network,913219.43,Commercial & Marketing,Sabre Travel Network,CC-COM-510,Director Revenue Mgmt,Paid,2023-01-05 14:45:00
80,2023-01-05,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,559715.14,Commercial & Marketing,American Express Merchant,CC-COM-510,Director Revenue Mgmt,Approved,2023-01-05 14:45:00
81,2023-01-05,In-flight Services,Catering,Catering - LSG Sky Chefs,948425.19,Customer Experience,LSG Sky Chefs,CC-CAB-610,VP Customer Experience,Paid,2023-01-05 14:45:00
82,2023-01-05,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - AIG Aviation,664067.61,Finance & Accounting,AIG Aviation,CC-FIN-710,CFO,Approved,2023-01-05 12:30:00
83,2023-01-05,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1712185.42,Finance & Accounting,Fixed Asset Register,CC-FIN-720,CFO,Approved,2023-01-05 16:20:00
84,2023-01-05,General & Admin,IT & Communications,IT & Communications - AT&T Business,404183.89,Corporate Services,AT&T Business,CC-COR-810,Director Procurement,Approved,2023-01-05 10:15:00
85,2023-01-05,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,304910.66,Corporate Services,JLL,CC-COR-810,VP Corporate Services,Approved,2023-01-05 14:45:00
86,2023-01-06,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,5959719.2,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Approved,2023-01-06 10:15:00
87,2023-01-06,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,6553465.32,Flight Operations,World Fuel Services,CC-FLT-110,Chief Pilot,Approved,2023-01-06 10:15:00
88,2023-01-06,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1706343.34,Flight Operations,Swissport Fueling,CC-FLT-110,VP Flight Ops,Paid,2023-01-06 10:15:00
89,2023-01-06,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,5706039.4,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Pending,2023-01-06 12:30:00
90,2023-01-06,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5827597.24,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Pending,2023-01-06 12:30:00
91,2023-01-06,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2323992.96,Maintenance & Engineering,Delta TechOps,CC-MNT-310,VP Maintenance,Approved,2023-01-06 14:45:00
92,2023-01-06,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,1682891.45,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,VP Maintenance,Approved,2023-01-06 10:15:00
93,2023-01-06,Airport Operations,Landing Fees,Landing Fees - Chicago ORD,2017007.79,Airport Operations,Chicago ORD,CC-AIR-410,VP Airports,Paid,2023-01-06 12:30:00
94,2023-01-06,Airport Operations,Ground Handling,Ground Handling - Swissport,784391.92,Airport Operations,Swissport,CC-AIR-410,Director Stations,Approved,2023-01-06 12:30:00
95,2023-01-06,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - AerCap,3153508.65,Fleet Management,AerCap,CC-FLT-120,VP Fleet,Paid,2023-01-06 16:20:00
96,2023-01-06,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Sabre Travel Network,925777.0,Commercial & Marketing,Sabre Travel Network,CC-COM-510,Director Revenue Mgmt,Paid,2023-01-06 14:45:00
97,2023-01-06,Sales & Distribution,Credit Card Processing,Credit Card Processing - Visa Merchant Services,567411.71,Commercial & Marketing,Visa Merchant Services,CC-COM-510,Director Revenue Mgmt,Paid,2023-01-06 14:45:00
98,2023-01-06,In-flight Services,Catering,Catering - LSG Sky Chefs,1156983.14,Customer Experience,LSG Sky Chefs,CC-CAB-610,VP Customer Experience,Paid,2023-01-06 14:45:00
99,2023-01-06,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - AIG Aviation,808751.38,Finance & Accounting,AIG Aviation,CC-FIN-710,Controller,Approved,2023-01-06 16:20:00
100,2023-01-06,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1864026.59,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2023-01-06 16:20:00
101,2023-01-06,General & Admin,IT & Communications,IT & Communications - AT&T Business,417912.77,Corporate Services,AT&T Business,CC-COR-810,VP Corporate Services,Approved,2023-01-06 12:30:00
102,2023-01-06,General & Admin,Utilities & Facilities,Utilities & Facilities - CBRE,315267.53,Corporate Services,CBRE,CC-COR-810,VP Corporate Services,Paid,2023-01-06 10:15:00
103,2023-01-07,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,6992210.85,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Approved,2023-01-07 10:15:00
104,2023-01-07,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,6542990.86,Flight Operations,World Fuel Services,CC-FLT-110,Chief Pilot,Paid,2023-01-07 10:15:00
105,2023-01-07,Fuel,Into-Plane Services,Into-Plane Services - Signature Aviation,1845709.32,Flight Operations,Signature Aviation,CC-FLT-110,Chief Pilot,Approved,2023-01-07 16:20:00
106,2023-01-07,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,6393644.94,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Paid,2023-01-07 12:30:00
107,2023-01-07,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5669712.95,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Paid,2023-01-07 16:20:00
108,2023-01-07,Maintenance,Line Maintenance,Line Maintenance - Lufthansa Technik,2574450.81,Maintenance & Engineering,Lufthansa Technik,CC-MNT-310,VP Maintenance,Paid,2023-01-07 14:45:00
109,2023-01-07,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,1864257.49,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,VP Maintenance,Approved,2023-01-07 12:30:00
110,2023-01-07,Airport Operations,Landing Fees,Landing Fees - Chicago ORD,2226134.49,Airport Operations,Chicago ORD,CC-AIR-410,Director Stations,Approved,2023-01-07 16:20:00
111,2023-01-07,Airport Operations,Ground Handling,Ground Handling - dnata,865718.97,Airport Operations,dnata,CC-AIR-410,VP Airports,Approved,2023-01-07 12:30:00
112,2023-01-07,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - SMBC Aviation Capital,3296649.97,Fleet Management,SMBC Aviation Capital,CC-FLT-120,VP Fleet,Approved,2023-01-07 14:45:00
113,2023-01-07,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Amadeus,969786.34,Commercial & Marketing,Amadeus,CC-COM-510,Chief Commercial Officer,Paid,2023-01-07 12:30:00
114,2023-01-07,Sales & Distribution,Credit Card Processing,Credit Card Processing - American Express Merchant,594385.17,Commercial & Marketing,American Express Merchant,CC-COM-510,Chief Commercial Officer,Approved,2023-01-07 12:30:00
115,2023-01-07,In-flight Services,Catering,Catering - Gate Gourmet,1135282.95,Customer Experience,Gate Gourmet,CC-CAB-610,VP Customer Experience,Approved,2023-01-07 12:30:00
116,2023-01-07,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,824452.53,Finance & Accounting,Marsh Aviation,CC-FIN-710,Controller,Approved,2023-01-07 12:30:00
117,2023-01-07,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1996273.38,Finance & Accounting,Fixed Asset Register,CC-FIN-720,CFO,Approved,2023-01-07 10:15:00
118,2023-01-07,General & Admin,IT & Communications,IT & Communications - Microsoft,415646.79,Corporate Services,Microsoft,CC-COR-810,VP Corporate Services,Approved,2023-01-07 16:20:00
119,2023-01-07,General & Admin,Utilities & Facilities,Utilities & Facilities - JLL,313558.1,Corporate Services,JLL,CC-COR-810,VP Corporate Services,Pending,2023-01-07 10:15:00
120,2023-01-08,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,3281743.86,Flight Operations,Chevron Aviation,CC-FLT-110,Chief Pilot,Approved,2023-01-08 16:20:00
121,2023-01-08,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,10514049.46,Flight Operations,World Fuel Services,CC-FLT-110,Chief Pilot,Pending,2023-01-08 16:20:00
122,2023-01-08,Fuel,Into-Plane Services,Into-Plane Services - Signature Aviation,1881244.54,Flight Operations,Signature Aviation,CC-FLT-110,Chief Pilot,Paid,2023-01-08 16:20:00
123,2023-01-08,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,5880244.72,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Approved,2023-01-08 12:30:00
124,2023-01-08,Payroll,Ground Staff Payroll,Ground Staff Payroll - Internal Payroll Clearing,5413300.74,People & Operations,Internal Payroll Clearing,CC-HR-210,HR Director,Paid,2023-01-08 14:45:00
125,2023-01-08,Maintenance,Line Maintenance,Line Maintenance - Delta TechOps,2553212.65,Maintenance & Engineering,Delta TechOps,CC-MNT-310,VP Maintenance,Paid,2023-01-08 12:30:00
126,2023-01-08,Maintenance,Engine Overhaul Reserve,Engine Overhaul Reserve - GE Aerospace Services,1848878.13,Maintenance & Engineering,GE Aerospace Services,CC-MNT-310,Director Engineering,Approved,2023-01-08 10:15:00
127,2023-01-08,Airport Operations,Landing Fees,Landing Fees - Dallas/Fort Worth DFW,1996947.23,Airport Operations,Dallas/Fort Worth DFW,CC-AIR-410,VP Airports,Approved,2023-01-08 12:30:00
128,2023-01-08,Airport Operations,Ground Handling,Ground Handling - dnata,776590.59,Airport Operations,dnata,CC-AIR-410,VP Airports,Approved,2023-01-08 16:20:00
129,2023-01-08,Aircraft Lease,Aircraft Lease Rent,Aircraft Lease Rent - Avolon,3169474.72,Fleet Management,Avolon,CC-FLT-120,Treasury Director,Approved,2023-01-08 12:30:00
130,2023-01-08,Sales & Distribution,GDS Booking Fees,GDS Booking Fees - Sabre Travel Network,1115056.39,Commercial & Marketing,Sabre Travel Network,CC-COM-510,Director Revenue Mgmt,Pending,2023-01-08 10:15:00
131,2023-01-08,Sales & Distribution,Credit Card Processing,Credit Card Processing - Mastercard Merchant Services,683421.66,Commercial & Marketing,Mastercard Merchant Services,CC-COM-510,Director Revenue Mgmt,Approved,2023-01-08 14:45:00
132,2023-01-08,In-flight Services,Catering,Catering - Gate Gourmet,1226973.03,Customer Experience,Gate Gourmet,CC-CAB-610,Cabin Services Director,Paid,2023-01-08 16:20:00
133,2023-01-08,Insurance,Hull & Liability Insurance,Hull & Liability Insurance - Marsh Aviation,778034.54,Finance & Accounting,Marsh Aviation,CC-FIN-710,CFO,Approved,2023-01-08 14:45:00
134,2023-01-08,Depreciation,Aircraft Depreciation,Aircraft Depreciation - Fixed Asset Register,1845226.82,Finance & Accounting,Fixed Asset Register,CC-FIN-720,Controller,Approved,2023-01-08 10:15:00
135,2023-01-08,General & Admin,IT & Communications,IT & Communications - Microsoft,426696.56,Corporate Services,Microsoft,CC-COR-810,Director Procurement,Paid,2023-01-08 16:20:00
136,2023-01-08,General & Admin,Utilities & Facilities,Utilities & Facilities - ConEdison,321893.9,Corporate Services,ConEdison,CC-COR-810,VP Corporate Services,Paid,2023-01-08 12:30:00
137,2023-01-09,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - Chevron Aviation,2822298.95,Flight Operations,Chevron Aviation,CC-FLT-110,VP Flight Ops,Pending,2023-01-09 10:15:00
138,2023-01-09,Fuel,Jet Fuel Purchase,Jet Fuel Purchase - World Fuel Services,8890020.02,Flight Operations,World Fuel Services,CC-FLT-110,VP Flight Ops,Paid,2023-01-09 12:30:00
139,2023-01-09,Fuel,Into-Plane Services,Into-Plane Services - Swissport Fueling,1597134.41,Flight Operations,Swissport Fueling,CC-FLT-110,VP Flight Ops,Approved,2023-01-09 16:20:00
140,2023-01-09,Payroll,Flight Crew Payroll,Flight Crew Payroll - Internal Payroll Clearing,5928989.59,People & Operations,Internal Payroll Clearing,CC-HR-210,VP People,Approved,2023-01-09 14:45:00
