id,account_code,account_name,account_type,sub_type,parent_code,description,normal_balance,is_active,is_header,currency,created_at
17,2000,Liabilities,Liability,Header,,All liability accounts,Credit,1,1,USD,2023-01-01 09:00:00
18,2100,Accounts Payable,Liability,Liability,2000,Trade payables to vendors,Credit,1,0,USD,2023-01-01 09:00:00
19,2110,Fuel Supplier Payables,Liability,Liability,2100,Amounts due to fuel suppliers,Credit,1,0,USD,2023-01-01 09:00:00
20,2120,Maintenance Vendor Payables,Liability,Liability,2100,Amounts due to maintenance vendors,Credit,1,0,USD,2023-01-01 09:00:00
21,2200,Accrued Expenses,Liability,Liability,2000,Accrued operating expenses,Credit,1,0,USD,2023-01-01 09:00:00
22,2210,Accrued Payroll,Liability,Liability,2200,Payroll and related accruals,Credit,1,0,USD,2023-01-01 09:00:00
23,2220,Accrued Airport Fees,Liability,Liability,2200,Accrued landing and station fees,Credit,1,0,USD,2023-01-01 09:00:00
24,2300,Deferred Revenue,Liability,Liability,2000,Advance ticket and cargo collections,Credit,1,0,USD,2023-01-01 09:00:00
25,2310,Air Traffic Liability,Liability,Liability,2300,Unflown passenger tickets,Credit,1,0,USD,2023-01-01 09:00:00
26,2320,Loyalty Program Liability,Liability,Liability,2300,Deferred loyalty obligations,Credit,1,0,USD,2023-01-01 09:00:00
27,2400,Long-term Debt,Liability,Liability,2000,Aircraft financing and other debt,Credit,1,0,USD,2023-01-01 09:00:00
28,2500,Lease Liabilities,Liability,Liability,2000,Aircraft and property lease liabilities,Credit,1,0,USD,2023-01-01 09:00:00
29,2600,Income Taxes Payable,Liability,Liability,2000,Current income taxes payable,Credit,1,0,USD,2023-01-01 09:00:00
30,3000,Equity,Equity,Header,,All equity accounts,Credit,1,1,USD,2023-01-01 09:00:00
31,3100,Common Stock,Equity,Equity,3000,Issued share capital,Credit,1,0,USD,2023-01-01 09:00:00
32,3200,Additional Paid-in Capital,Equity,Equity,3000,Additional capital contributions,Credit,1,0,USD,2023-01-01 09:00:00
33,3300,Retained Earnings,Equity,Equity,3000,Accumulated earnings,Credit,1,0,USD,2023-01-01 09:00:00
34,4000,Operating Revenue,Revenue,Header,,All operating revenue accounts,Credit,1,1,USD,2023-01-01 09:00:00
35,4100,Passenger Revenue - Mainline,Revenue,Revenue,4000,Mainline passenger ticket revenue,Credit,1,0,USD,2023-01-01 09:00:00
36,4110,Passenger Revenue - Regional,Revenue,Revenue,4000,Regional passenger ticket revenue,Credit,1,0,USD,2023-01-01 09:00:00
37,4200,Corporate Contract Revenue,Revenue,Revenue,4000,Corporate and charter contract revenue,Credit,1,0,USD,2023-01-01 09:00:00
38,4300,Cargo & Mail Revenue,Revenue,Revenue,4000,Cargo and mail transport revenue,Credit,1,0,USD,2023-01-01 09:00:00
39,4400,Ancillary Revenue - Bags,Revenue,Revenue,4000,Baggage and related fees,Credit,1,0,USD,2023-01-01 09:00:00
40,4410,Ancillary Revenue - Seats,Revenue,Revenue,4000,Preferred seat selection fees,Credit,1,0,USD,2023-01-01 09:00:00
41,4420,Ancillary Revenue - WiFi,Revenue,Revenue,4000,Onboard connectivity fees,Credit,1,0,USD,2023-01-01 09:00:00
42,4430,Ancillary Revenue - Other,Revenue,Revenue,4000,"Change fees, lounge, and other ancillary",Credit,1,0,USD,2023-01-01 09:00:00
43,4500,Loyalty Revenue,Revenue,Revenue,4000,Recognized loyalty program revenue,Credit,1,0,USD,2023-01-01 09:00:00
44,4600,Other Operating Revenue,Revenue,Revenue,4000,Other operating and service revenue,Credit,1,0,USD,2023-01-01 09:00:00
45,5000,Operating Expenses,Expense,Header,,All operating expense accounts,Debit,1,1,USD,2023-01-01 09:00:00
46,5100,Fuel Expense,Expense,Expense,5000,Jet fuel and into-plane fees,Debit,1,0,USD,2023-01-01 09:00:00
47,5200,Flight Crew Salaries,Expense,Expense,5000,Pilots and cabin crew payroll,Debit,1,0,USD,2023-01-01 09:00:00
48,5210,Ground Staff Salaries,Expense,Expense,5000,Airport and operations staff payroll,Debit,1,0,USD,2023-01-01 09:00:00
49,5300,Maintenance & Repair Expense,Expense,Expense,5000,"Airframe, engine, and line maintenance",Debit,1,0,USD,2023-01-01 09:00:00
50,5400,Airport & Navigation Fees,Expense,Expense,5000,"Landing, parking, and station fees",Debit,1,0,USD,2023-01-01 09:00:00
51,5500,Aircraft Lease Expense,Expense,Expense,5000,Aircraft lease and rental expense,Debit,1,0,USD,2023-01-01 09:00:00
52,5600,Distribution & Sales Expense,Expense,Expense,5000,"GDS, commissions, card processing",Debit,1,0,USD,2023-01-01 09:00:00
53,5700,Catering & Inflight Expense,Expense,Expense,5000,Inflight catering and passenger service items,Debit,1,0,USD,2023-01-01 09:00:00
54,5800,Insurance & Safety Expense,Expense,Expense,5000,"Hull, liability, and safety compliance",Debit,1,0,USD,2023-01-01 09:00:00
55,5900,Depreciation & Amortization,Expense,Expense,5000,Depreciation and amortization expense,Debit,1,0,USD,2023-01-01 09:00:00
56,5950,Other Operating Expense,Expense,Expense,5000,"Utilities, IT, and miscellaneous operating expense",Debit,1,0,USD,2023-01-01 09:00:00
57,6000,Non-operating Items,Other,Header,,Non-operating income and expense accounts,Debit,1,1,USD,2023-01-01 09:00:00
58,6100,Interest Expense,Expense,Expense,6000,Interest on debt and leases,Debit,1,0,USD,2023-01-01 09:00:00
59,6200,Interest Income,Revenue,Revenue,6000,Interest income on deposits,Credit,1,0,USD,2023-01-01 09:00:00
60,6300,Fuel Hedging Gain/Loss,Other,Other,6000,Realized and mark-to-market fuel hedging,Debit,1,0,USD,2023-01-01 09:00:00
61,6400,Income Tax Expense,Expense,Expense,6000,Federal and state income taxes,Debit,1,0,USD,2023-01-01 09:00:00
62,1410,Prepaid Insurance,Asset,Asset,1400,Prepaid insurance premiums,Debit,1,0,USD,2023-01-01 09:00:00
63,1420,Prepaid Airport Rentals,Asset,Asset,1400,Prepaid airport facilities rentals,Debit,1,0,USD,2023-01-01 09:00:00
64,2140,Credit Card Clearing,Liability,Liability,2100,Settlement timing differences with card processors,Credit,1,0,USD,2023-01-01 09:00:00
65,2230,Accrued Catering,Liability,Liability,2200,Accrued inflight catering costs,Credit,1,0,USD,2023-01-01 09:00:00
66,2240,Accrued Maintenance Reserves,Liability,Liability,2200,Accrued maintenance reserve obligations,Credit,1,0,USD,2023-01-01 09:00:00
67,2330,Unused Ticket Credits,Liability,Liability,2300,Unused passenger ticket credits,Credit,1,0,USD,2023-01-01 09:00:00
68,2440,Deferred Lease Obligation,Liability,Liability,2500,Deferred lease accounting balances,Credit,1,0,USD,2023-01-01 09:00:00
69,3400,Accumulated Other Comprehensive Income,Equity,Equity,3000,AOCI from cash flow hedges,Credit,1,0,USD,2023-01-01 09:00:00
70,4700,Interline & Codeshare Revenue,Revenue,Revenue,4000,Revenue from interline and codeshare activities,Credit,1,0,USD,2023-01-01 09:00:00
71,5120,Fueling Service Expense,Expense,Expense,5000,Into-plane and fueling services,Debit,1,0,USD,2023-01-01 09:00:00
72,5310,Engine Overhaul Expense,Expense,Expense,5000,Engine shop visit expense,Debit,1,0,USD,2023-01-01 09:00:00
73,5410,Ground Handling Expense,Expense,Expense,5000,Third-party station and ground handling,Debit,1,0,USD,2023-01-01 09:00:00
74,5610,Credit Card Fees,Expense,Expense,5000,Merchant discount and card processing fees,Debit,1,0,USD,2023-01-01 09:00:00
75,5710,Passenger Amenities Expense,Expense,Expense,5000,"Blankets, kits, and customer amenities",Debit,1,0,USD,2023-01-01 09:00:00
76,5810,Safety Training Expense,Expense,Expense,5000,Safety and compliance training,Debit,1,0,USD,2023-01-01 09:00:00
77,5960,IT & Communications Expense,Expense,Expense,5000,IT systems and communication expense,Debit,1,0,USD,2023-01-01 09:00:00
78,5970,Utilities & Facilities Expense,Expense,Expense,5000,Utilities and facilities support expense,Debit,1,0,USD,2023-01-01 09:00:00
79,6500,Gain/Loss on Asset Disposals,Other,Other,6000,Gains and losses on disposals,Debit,1,0,USD,2023-01-01 09:00:00
80,6600,Foreign Exchange Gain/Loss,Other,Other,6000,FX gains and losses on settlements,Debit,1,0,USD,2023-01-01 09:00:00
81,70000,Station Fuel Expense - ATL,Expense,Expense,5100,Fuel uplift and into-plane services at ATL,Debit,1,0,USD,2023-01-01 09:00:00
82,70001,Station Ground Handling Expense - ATL,Expense,Expense,5410,Third-party ground handling at ATL,Debit,1,0,USD,2023-01-01 09:00:00
83,70002,Station Landing Fees - ATL,Expense,Expense,5400,Landing and airport use fees at ATL,Debit,1,0,USD,2023-01-01 09:00:00
84,70003,Station Catering Expense - ATL,Expense,Expense,5700,Inflight catering uplift at ATL,Debit,1,0,USD,2023-01-01 09:00:00
85,70004,Station Facilities Expense - ATL,Expense,Expense,5970,Station utilities and facilities at ATL,Debit,1,0,USD,2023-01-01 09:00:00
86,70005,Station Passenger Revenue - ATL,Revenue,Revenue,4100,Origin or destination passenger revenue detail for ATL,Credit,1,0,USD,2023-01-01 09:00:00
87,70006,Station Cargo Revenue - ATL,Revenue,Revenue,4300,Cargo revenue detail for ATL,Credit,1,0,USD,2023-01-01 09:00:00
88,70007,Station Fuel Expense - AUS,Expense,Expense,5100,Fuel uplift and into-plane services at AUS,Debit,1,0,USD,2023-01-01 09:00:00
89,70008,Station Ground Handling Expense - AUS,Expense,Expense,5410,Third-party ground handling at AUS,Debit,1,0,USD,2023-01-01 09:00:00
90,70009,Station Landing Fees - AUS,Expense,Expense,5400,Landing and airport use fees at AUS,Debit,1,0,USD,2023-01-01 09:00:00
91,70010,Station Catering Expense - AUS,Expense,Expense,5700,Inflight catering uplift at AUS,Debit,1,0,USD,2023-01-01 09:00:00
92,70011,Station Facilities Expense - AUS,Expense,Expense,5970,Station utilities and facilities at AUS,Debit,1,0,USD,2023-01-01 09:00:00
93,70012,Station Passenger Revenue - AUS,Revenue,Revenue,4100,Origin or destination passenger revenue detail for AUS,Credit,1,0,USD,2023-01-01 09:00:00
94,70013,Station Cargo Revenue - AUS,Revenue,Revenue,4300,Cargo revenue detail for AUS,Credit,1,0,USD,2023-01-01 09:00:00
95,70014,Station Fuel Expense - BOS,Expense,Expense,5100,Fuel uplift and into-plane services at BOS,Debit,1,0,USD,2023-01-01 09:00:00
96,70015,Station Ground Handling Expense - BOS,Expense,Expense,5410,Third-party ground handling at BOS,Debit,1,0,USD,2023-01-01 09:00:00
97,70016,Station Landing Fees - BOS,Expense,Expense,5400,Landing and airport use fees at BOS,Debit,1,0,USD,2023-01-01 09:00:00
98,70017,Station Catering Expense - BOS,Expense,Expense,5700,Inflight catering uplift at BOS,Debit,1,0,USD,2023-01-01 09:00:00
99,70018,Station Facilities Expense - BOS,Expense,Expense,5970,Station utilities and facilities at BOS,Debit,1,0,USD,2023-01-01 09:00:00
100,70019,Station Passenger Revenue - BOS,Revenue,Revenue,4100,Origin or destination passenger revenue detail for BOS,Credit,1,0,USD,2023-01-01 09:00:00
101,70020,Station Cargo Revenue - BOS,Revenue,Revenue,4300,Cargo revenue detail for BOS,Credit,1,0,USD,2023-01-01 09:00:00
102,70021,Station Fuel Expense - CLT,Expense,Expense,5100,Fuel uplift and into-plane services at CLT,Debit,1,0,USD,2023-01-01 09:00:00
103,70022,Station Ground Handling Expense - CLT,Expense,Expense,5410,Third-party ground handling at CLT,Debit,1,0,USD,2023-01-01 09:00:00
104,70023,Station Landing Fees - CLT,Expense,Expense,5400,Landing and airport use fees at CLT,Debit,1,0,USD,2023-01-01 09:00:00
105,70024,Station Catering Expense - CLT,Expense,Expense,5700,Inflight catering uplift at CLT,Debit,1,0,USD,2023-01-01 09:00:00
106,70025,Station Facilities Expense - CLT,Expense,Expense,5970,Station utilities and facilities at CLT,Debit,1,0,USD,2023-01-01 09:00:00
107,70026,Station Passenger Revenue - CLT,Revenue,Revenue,4100,Origin or destination passenger revenue detail for CLT,Credit,1,0,USD,2023-01-01 09:00:00
108,70027,Station Cargo Revenue - CLT,Revenue,Revenue,4300,Cargo revenue detail for CLT,Credit,1,0,USD,2023-01-01 09:00:00
109,70028,Station Fuel Expense - CUN,Expense,Expense,5100,Fuel uplift and into-plane services at CUN,Debit,1,0,USD,2023-01-01 09:00:00
110,70029,Station Ground Handling Expense - CUN,Expense,Expense,5410,Third-party ground handling at CUN,Debit,1,0,USD,2023-01-01 09:00:00
111,70030,Station Landing Fees - CUN,Expense,Expense,5400,Landing and airport use fees at CUN,Debit,1,0,USD,2023-01-01 09:00:00
112,70031,Station Catering Expense - CUN,Expense,Expense,5700,Inflight catering uplift at CUN,Debit,1,0,USD,2023-01-01 09:00:00
113,70032,Station Facilities Expense - CUN,Expense,Expense,5970,Station utilities and facilities at CUN,Debit,1,0,USD,2023-01-01 09:00:00
114,70033,Station Passenger Revenue - CUN,Revenue,Revenue,4100,Origin or destination passenger revenue detail for CUN,Credit,1,0,USD,2023-01-01 09:00:00
115,70034,Station Cargo Revenue - CUN,Revenue,Revenue,4300,Cargo revenue detail for CUN,Credit,1,0,USD,2023-01-01 09:00:00
116,70035,Station Fuel Expense - DEN,Expense,Expense,5100,Fuel uplift and into-plane services at DEN,Debit,1,0,USD,2023-01-01 09:00:00
117,70036,Station Ground Handling Expense - DEN,Expense,Expense,5410,Third-party ground handling at DEN,Debit,1,0,USD,2023-01-01 09:00:00
118,70037,Station Landing Fees - DEN,Expense,Expense,5400,Landing and airport use fees at DEN,Debit,1,0,USD,2023-01-01 09:00:00
119,70038,Station Catering Expense - DEN,Expense,Expense,5700,Inflight catering uplift at DEN,Debit,1,0,USD,2023-01-01 09:00:00
120,70039,Station Facilities Expense - DEN,Expense,Expense,5970,Station utilities and facilities at DEN,Debit,1,0,USD,2023-01-01 09:00:00
121,70040,Station Passenger Revenue - DEN,Revenue,Revenue,4100,Origin or destination passenger revenue detail for DEN,Credit,1,0,USD,2023-01-01 09:00:00
122,70041,Station Cargo Revenue - DEN,Revenue,Revenue,4300,Cargo revenue detail for DEN,Credit,1,0,USD,2023-01-01 09:00:00
123,70042,Station Fuel Expense - DFW,Expense,Expense,5100,Fuel uplift and into-plane services at DFW,Debit,1,0,USD,2023-01-01 09:00:00
124,70043,Station Ground Handling Expense - DFW,Expense,Expense,5410,Third-party ground handling at DFW,Debit,1,0,USD,2023-01-01 09:00:00
125,70044,Station Landing Fees - DFW,Expense,Expense,5400,Landing and airport use fees at DFW,Debit,1,0,USD,2023-01-01 09:00:00
126,70045,Station Catering Expense - DFW,Expense,Expense,5700,Inflight catering uplift at DFW,Debit,1,0,USD,2023-01-01 09:00:00
127,70046,Station Facilities Expense - DFW,Expense,Expense,5970,Station utilities and facilities at DFW,Debit,1,0,USD,2023-01-01 09:00:00
128,70047,Station Passenger Revenue - DFW,Revenue,Revenue,4100,Origin or destination passenger revenue detail for DFW,Credit,1,0,USD,2023-01-01 09:00:00
129,70048,Station Cargo Revenue - DFW,Revenue,Revenue,4300,Cargo revenue detail for DFW,Credit,1,0,USD,2023-01-01 09:00:00
130,70049,Station Fuel Expense - IAD,Expense,Expense,5100,Fuel uplift and into-plane services at IAD,Debit,1,0,USD,2023-01-01 09:00:00
131,70050,Station Ground Handling Expense - IAD,Expense,Expense,5410,Third-party ground handling at IAD,Debit,1,0,USD,2023-01-01 09:00:00
132,70051,Station Landing Fees - IAD,Expense,Expense,5400,Landing and airport use fees at IAD,Debit,1,0,USD,2023-01-01 09:00:00
133,70052,Station Catering Expense - IAD,Expense,Expense,5700,Inflight catering uplift at IAD,Debit,1,0,USD,2023-01-01 09:00:00
134,70053,Station Facilities Expense - IAD,Expense,Expense,5970,Station utilities and facilities at IAD,Debit,1,0,USD,2023-01-01 09:00:00
135,70054,Station Passenger Revenue - IAD,Revenue,Revenue,4100,Origin or destination passenger revenue detail for IAD,Credit,1,0,USD,2023-01-01 09:00:00
136,70055,Station Cargo Revenue - IAD,Revenue,Revenue,4300,Cargo revenue detail for IAD,Credit,1,0,USD,2023-01-01 09:00:00
137,70056,Station Fuel Expense - IAH,Expense,Expense,5100,Fuel uplift and into-plane services at IAH,Debit,1,0,USD,2023-01-01 09:00:00
138,70057,Station Ground Handling Expense - IAH,Expense,Expense,5410,Third-party ground handling at IAH,Debit,1,0,USD,2023-01-01 09:00:00
139,70058,Station Landing Fees - IAH,Expense,Expense,5400,Landing and airport use fees at IAH,Debit,1,0,USD,2023-01-01 09:00:00
140,70059,Station Catering Expense - IAH,Expense,Expense,5700,Inflight catering uplift at IAH,Debit,1,0,USD,2023-01-01 09:00:00
141,70060,Station Facilities Expense - IAH,Expense,Expense,5970,Station utilities and facilities at IAH,Debit,1,0,USD,2023-01-01 09:00:00
142,70061,Station Passenger Revenue - IAH,Revenue,Revenue,4100,Origin or destination passenger revenue detail for IAH,Credit,1,0,USD,2023-01-01 09:00:00
143,70062,Station Cargo Revenue - IAH,Revenue,Revenue,4300,Cargo revenue detail for IAH,Credit,1,0,USD,2023-01-01 09:00:00
144,70063,Station Fuel Expense - JFK,Expense,Expense,5100,Fuel uplift and into-plane services at JFK,Debit,1,0,USD,2023-01-01 09:00:00
145,70064,Station Ground Handling Expense - JFK,Expense,Expense,5410,Third-party ground handling at JFK,Debit,1,0,USD,2023-01-01 09:00:00
146,70065,Station Landing Fees - JFK,Expense,Expense,5400,Landing and airport use fees at JFK,Debit,1,0,USD,2023-01-01 09:00:00
147,70066,Station Catering Expense - JFK,Expense,Expense,5700,Inflight catering uplift at JFK,Debit,1,0,USD,2023-01-01 09:00:00
148,70067,Station Facilities Expense - JFK,Expense,Expense,5970,Station utilities and facilities at JFK,Debit,1,0,USD,2023-01-01 09:00:00
149,70068,Station Passenger Revenue - JFK,Revenue,Revenue,4100,Origin or destination passenger revenue detail for JFK,Credit,1,0,USD,2023-01-01 09:00:00
150,70069,Station Cargo Revenue - JFK,Revenue,Revenue,4300,Cargo revenue detail for JFK,Credit,1,0,USD,2023-01-01 09:00:00
151,70070,Station Fuel Expense - LAS,Expense,Expense,5100,Fuel uplift and into-plane services at LAS,Debit,1,0,USD,2023-01-01 09:00:00
152,70071,Station Ground Handling Expense - LAS,Expense,Expense,5410,Third-party ground handling at LAS,Debit,1,0,USD,2023-01-01 09:00:00
153,70072,Station Landing Fees - LAS,Expense,Expense,5400,Landing and airport use fees at LAS,Debit,1,0,USD,2023-01-01 09:00:00
154,70073,Station Catering Expense - LAS,Expense,Expense,5700,Inflight catering uplift at LAS,Debit,1,0,USD,2023-01-01 09:00:00
155,70074,Station Facilities Expense - LAS,Expense,Expense,5970,Station utilities and facilities at LAS,Debit,1,0,USD,2023-01-01 09:00:00
156,70075,Station Passenger Revenue - LAS,Revenue,Revenue,4100,Origin or destination passenger revenue detail for LAS,Credit,1,0,USD,2023-01-01 09:00:00
157,70076,Station Cargo Revenue - LAS,Revenue,Revenue,4300,Cargo revenue detail for LAS,Credit,1,0,USD,2023-01-01 09:00:00
158,70077,Station Fuel Expense - LAX,Expense,Expense,5100,Fuel uplift and into-plane services at LAX,Debit,1,0,USD,2023-01-01 09:00:00
159,70078,Station Ground Handling Expense - LAX,Expense,Expense,5410,Third-party ground handling at LAX,Debit,1,0,USD,2023-01-01 09:00:00
160,70079,Station Landing Fees - LAX,Expense,Expense,5400,Landing and airport use fees at LAX,Debit,1,0,USD,2023-01-01 09:00:00
161,70080,Station Catering Expense - LAX,Expense,Expense,5700,Inflight catering uplift at LAX,Debit,1,0,USD,2023-01-01 09:00:00
162,70081,Station Facilities Expense - LAX,Expense,Expense,5970,Station utilities and facilities at LAX,Debit,1,0,USD,2023-01-01 09:00:00
163,70082,Station Passenger Revenue - LAX,Revenue,Revenue,4100,Origin or destination passenger revenue detail for LAX,Credit,1,0,USD,2023-01-01 09:00:00
164,70083,Station Cargo Revenue - LAX,Revenue,Revenue,4300,Cargo revenue detail for LAX,Credit,1,0,USD,2023-01-01 09:00:00
165,70084,Station Fuel Expense - LGA,Expense,Expense,5100,Fuel uplift and into-plane services at LGA,Debit,1,0,USD,2023-01-01 09:00:00
166,70085,Station Ground Handling Expense - LGA,Expense,Expense,5410,Third-party ground handling at LGA,Debit,1,0,USD,2023-01-01 09:00:00
167,70086,Station Landing Fees - LGA,Expense,Expense,5400,Landing and airport use fees at LGA,Debit,1,0,USD,2023-01-01 09:00:00
168,70087,Station Catering Expense - LGA,Expense,Expense,5700,Inflight catering uplift at LGA,Debit,1,0,USD,2023-01-01 09:00:00
169,70088,Station Facilities Expense - LGA,Expense,Expense,5970,Station utilities and facilities at LGA,Debit,1,0,USD,2023-01-01 09:00:00
170,70089,Station Passenger Revenue - LGA,Revenue,Revenue,4100,Origin or destination passenger revenue detail for LGA,Credit,1,0,USD,2023-01-01 09:00:00
171,70090,Station Cargo Revenue - LGA,Revenue,Revenue,4300,Cargo revenue detail for LGA,Credit,1,0,USD,2023-01-01 09:00:00
172,70091,Station Fuel Expense - LHR,Expense,Expense,5100,Fuel uplift and into-plane services at LHR,Debit,1,0,USD,2023-01-01 09:00:00
173,70092,Station Ground Handling Expense - LHR,Expense,Expense,5410,Third-party ground handling at LHR,Debit,1,0,USD,2023-01-01 09:00:00
174,70093,Station Landing Fees - LHR,Expense,Expense,5400,Landing and airport use fees at LHR,Debit,1,0,USD,2023-01-01 09:00:00
175,70094,Station Catering Expense - LHR,Expense,Expense,5700,Inflight catering uplift at LHR,Debit,1,0,USD,2023-01-01 09:00:00
176,70095,Station Facilities Expense - LHR,Expense,Expense,5970,Station utilities and facilities at LHR,Debit,1,0,USD,2023-01-01 09:00:00
177,70096,Station Passenger Revenue - LHR,Revenue,Revenue,4100,Origin or destination passenger revenue detail for LHR,Credit,1,0,USD,2023-01-01 09:00:00
178,70097,Station Cargo Revenue - LHR,Revenue,Revenue,4300,Cargo revenue detail for LHR,Credit,1,0,USD,2023-01-01 09:00:00
179,70098,Station Fuel Expense - MCO,Expense,Expense,5100,Fuel uplift and into-plane services at MCO,Debit,1,0,USD,2023-01-01 09:00:00
180,70099,Station Ground Handling Expense - MCO,Expense,Expense,5410,Third-party ground handling at MCO,Debit,1,0,USD,2023-01-01 09:00:00
181,70100,Station Landing Fees - MCO,Expense,Expense,5400,Landing and airport use fees at MCO,Debit,1,0,USD,2023-01-01 09:00:00
182,70101,Station Catering Expense - MCO,Expense,Expense,5700,Inflight catering uplift at MCO,Debit,1,0,USD,2023-01-01 09:00:00
183,70102,Station Facilities Expense - MCO,Expense,Expense,5970,Station utilities and facilities at MCO,Debit,1,0,USD,2023-01-01 09:00:00
184,70103,Station Passenger Revenue - MCO,Revenue,Revenue,4100,Origin or destination passenger revenue detail for MCO,Credit,1,0,USD,2023-01-01 09:00:00
185,70104,Station Cargo Revenue - MCO,Revenue,Revenue,4300,Cargo revenue detail for MCO,Credit,1,0,USD,2023-01-01 09:00:00
186,70105,Station Fuel Expense - MIA,Expense,Expense,5100,Fuel uplift and into-plane services at MIA,Debit,1,0,USD,2023-01-01 09:00:00
187,70106,Station Ground Handling Expense - MIA,Expense,Expense,5410,Third-party ground handling at MIA,Debit,1,0,USD,2023-01-01 09:00:00
188,70107,Station Landing Fees - MIA,Expense,Expense,5400,Landing and airport use fees at MIA,Debit,1,0,USD,2023-01-01 09:00:00
189,70108,Station Catering Expense - MIA,Expense,Expense,5700,Inflight catering uplift at MIA,Debit,1,0,USD,2023-01-01 09:00:00
190,70109,Station Facilities Expense - MIA,Expense,Expense,5970,Station utilities and facilities at MIA,Debit,1,0,USD,2023-01-01 09:00:00
191,70110,Station Passenger Revenue - MIA,Revenue,Revenue,4100,Origin or destination passenger revenue detail for MIA,Credit,1,0,USD,2023-01-01 09:00:00
192,70111,Station Cargo Revenue - MIA,Revenue,Revenue,4300,Cargo revenue detail for MIA,Credit,1,0,USD,2023-01-01 09:00:00
193,70112,Station Fuel Expense - MSP,Expense,Expense,5100,Fuel uplift and into-plane services at MSP,Debit,1,0,USD,2023-01-01 09:00:00
194,70113,Station Ground Handling Expense - MSP,Expense,Expense,5410,Third-party ground handling at MSP,Debit,1,0,USD,2023-01-01 09:00:00
195,70114,Station Landing Fees - MSP,Expense,Expense,5400,Landing and airport use fees at MSP,Debit,1,0,USD,2023-01-01 09:00:00
196,70115,Station Catering Expense - MSP,Expense,Expense,5700,Inflight catering uplift at MSP,Debit,1,0,USD,2023-01-01 09:00:00
197,70116,Station Facilities Expense - MSP,Expense,Expense,5970,Station utilities and facilities at MSP,Debit,1,0,USD,2023-01-01 09:00:00
198,70117,Station Passenger Revenue - MSP,Revenue,Revenue,4100,Origin or destination passenger revenue detail for MSP,Credit,1,0,USD,2023-01-01 09:00:00
199,70118,Station Cargo Revenue - MSP,Revenue,Revenue,4300,Cargo revenue detail for MSP,Credit,1,0,USD,2023-01-01 09:00:00
200,70119,Station Fuel Expense - NRT,Expense,Expense,5100,Fuel uplift and into-plane services at NRT,Debit,1,0,USD,2023-01-01 09:00:00
201,70120,Station Ground Handling Expense - NRT,Expense,Expense,5410,Third-party ground handling at NRT,Debit,1,0,USD,2023-01-01 09:00:00
202,70121,Station Landing Fees - NRT,Expense,Expense,5400,Landing and airport use fees at NRT,Debit,1,0,USD,2023-01-01 09:00:00
203,70122,Station Catering Expense - NRT,Expense,Expense,5700,Inflight catering uplift at NRT,Debit,1,0,USD,2023-01-01 09:00:00
204,70123,Station Facilities Expense - NRT,Expense,Expense,5970,Station utilities and facilities at NRT,Debit,1,0,USD,2023-01-01 09:00:00
205,70124,Station Passenger Revenue - NRT,Revenue,Revenue,4100,Origin or destination passenger revenue detail for NRT,Credit,1,0,USD,2023-01-01 09:00:00
206,70125,Station Cargo Revenue - NRT,Revenue,Revenue,4300,Cargo revenue detail for NRT,Credit,1,0,USD,2023-01-01 09:00:00
207,70126,Station Fuel Expense - ORD,Expense,Expense,5100,Fuel uplift and into-plane services at ORD,Debit,1,0,USD,2023-01-01 09:00:00
